"gross","review","budget","screens","sequel","sentiment","views","likes","dislikes","comments","followers"
"36",38900000,"NOT RECOMMENDED",1.3e+07,3230,"Main",0,1488038,2571,553,643,88586
"37",1e+08,"RECOMMENDED",1.78e+08,3490,"Main",0,15568277,29251,1730,6439,5610000
"38",23400000,"NOT RECOMMENDED",2e+07,2800,"Main",1,11850723,24226,1343,2577,21500
"39",8690,"NOT RECOMMENDED",4500000,1219,"Main",0,735551,636,98,92,1060000
"40",1210000,"RECOMMENDED",2.4e+07,66,"Main",6,6685088,8369,467,1580,13720000
"41",85700000,"RECOMMENDED",6.8e+07,3313,"Main",3,2276605,3946,331,1286,1888000
"42",102000,"NOT RECOMMENDED",1850000,8,"Main",-4,1034480,6490,181,374,66600
"43",60800000,"NOT RECOMMENDED",2e+06,780,"Main",0,456564,1706,413,890,412000
"44",104000,"NOT RECOMMENDED",1e+06,3,"Main",0,99427,47,10,12,1307431
"45",2.01e+08,"NOT RECOMMENDED",1.6e+08,3952,"Main",2,1156609,2968,112,547,1870000
"46",1.68e+08,"RECOMMENDED",6.1e+07,3014,"Main",-11,396010,1390,58,342,20640000
"47",3.33e+08,"RECOMMENDED",1.7e+08,4080,"Main",0,1313548,8567,269,1285,2750000
"48",30100,"NOT RECOMMENDED",70000,9,"Main",0,924347,1406,107,132,5887700
"49",91400000,"NOT RECOMMENDED",1.2e+07,2417,"Main",-9,175017,461,34,133,2596340
"50",72700000,"NOT RECOMMENDED",1e+08,3595,"Main",-2,9324678,15479,1130,3925,9414000
"51",54400000,"NOT RECOMMENDED",4.2e+07,93,"Sequel",-1,1292235,5284,124,362,1650000
"52",1.77e+08,"RECOMMENDED",1.45e+08,4253,"Sequel",3,11472161,22779,862,2863,671000
"53",50500000,"RECOMMENDED",1.1e+07,1272,"Main",14,9222933,41728,924,3609,1800000
"54",275000,"NOT RECOMMENDED",8932780,6,"Main",0,8210,6,0,0,58900
"55",8090000,"RECOMMENDED",2e+07,645,"Main",1,1167941,2651,82,797,1818870
"56",1.88e+08,"RECOMMENDED",1.65e+08,3561,"Main",2,5421705,16635,751,4316,1865000
"57",47600000,"NOT RECOMMENDED",5e+07,3434,"Main",0,4270410,8886,569,3058,301000
"58",1.28e+08,"NOT RECOMMENDED",5e+07,2440,"Main",-4,817242,4391,112,346,4720000
"59",147000,"RECOMMENDED",2e+06,4,"Main",-9,4877,6,1,1,821625
"60",50500000,"NOT RECOMMENDED",6e+07,3387,"Sequel",4,3320754,4322,347,1105,147000
"61",4.7e+07,"RECOMMENDED",4e+07,2905,"Main",10,1438350,4028,133,543,27323
"62",4.3e+07,"RECOMMENDED",2e+07,2589,"Main",0,4846645,14722,405,2732,2405992
"63",2450000,"RECOMMENDED",5e+06,374,"Main",0,3650720,6917,234,1119,1045200
"64",1.28e+08,"RECOMMENDED",8.1e+07,3204,"Main",0,2767873,46023,944,6946,5407000
"65",129000,"NOT RECOMMENDED",2.5e+07,28,"Main",-2,289922,143,17,9,793640
"66",1.4e+07,"NOT RECOMMENDED",1.6e+07,1825,"Main",0,5611593,11187,2111,7595,116800
"67",82400000,"NOT RECOMMENDED",1.7e+07,1534,"Main",-5,4450824,7315,546,909,2356000
"68",8300,"NOT RECOMMENDED",2400000,929,"Main",0,1222921,5553,193,335,1463000
"69",2470,"NOT RECOMMENDED",3e+05,3,"Main",0,30529,18,4,2,18100
"70",1.27e+08,"NOT RECOMMENDED",4e+07,3173,"Main",1,1142964,2346,167,311,2813298
"71",2.41e+08,"RECOMMENDED",1.8e+08,3948,"Main",0,557012,3528,135,464,5633
"72",348000,"NOT RECOMMENDED",1.5e+07,66,"Main",0,177465,595,39,71,644000
"73",36400000,"RECOMMENDED",2.5e+07,3019,"Main",27,1470438,4314,168,511,130000
"74",10400000,"NOT RECOMMENDED",5e+06,1044,"Main",0,667852,469,38,44,919000
"75",1.12e+08,"RECOMMENDED",1.45e+08,3934,"Main",13,277848,890,45,88,8839043
"76",51200000,"NOT RECOMMENDED",5e+07,3194,"Sequel",-1,3037329,6696,564,1061,9850000
"77",4010000,"NOT RECOMMENDED",5e+06,255,"Main",0,446576,659,50,45,1287964
"78",43600000,"RECOMMENDED",6.6e+07,3115,"Main",5,1451649,7342,533,2305,2594000
"79",1.5e+08,"NOT RECOMMENDED",1.8e+07,3279,"Main",2,2554307,8722,298,693,14240000
"80",1.14e+08,"NOT RECOMMENDED",1.27e+08,22,"Sequel",2,3779254,13535,362,1221,6480000
"81",32300000,"RECOMMENDED",8500000,2766,"Main",-1,6082510,12522,543,2170,3356830
"82",52500000,"NOT RECOMMENDED",13200000,2130,"Main",0,608230,895,118,387,1550500
"83",1.01e+08,"NOT RECOMMENDED",1.25e+08,3567,"Main",6,13661095,41254,3812,18077,1810000
"84",91400000,"RECOMMENDED",5e+07,3090,"Main",0,367551,700,19,37,648786
"85",35700,"NOT RECOMMENDED",6e+05,2968,"Main",0,5403836,187162,3145,24919,2720000
"86",50800000,"NOT RECOMMENDED",5e+06,2061,"Main",-4,11724815,30208,2150,4926,130000
"87",76100000,"RECOMMENDED",5.5e+07,3303,"Main",14,2028767,3829,500,665,124000
"88",32500000,"NOT RECOMMENDED",5e+06,2867,"Main",0,105480,352,45,85,11444
"89",83300000,"RECOMMENDED",1.32e+08,32,"Main",8,1223790,2934,123,226,47200
"90",59200000,"NOT RECOMMENDED",5e+07,3826,"Sequel",0,2117798,2124,485,626,3603000
"91",23200000,"NOT RECOMMENDED",1e+08,2658,"Main",0,355563,1568,106,267,370000
"92",1.34e+08,"NOT RECOMMENDED",2.5e+07,2663,"Main",0,8429023,27484,977,2195,21586000
"93",1.32e+08,"NOT RECOMMENDED",1.03e+08,3948,"Sequel",4,3849768,9783,704,1151,154400
"94",58600000,"NOT RECOMMENDED",1e+08,3372,"Main",7,3305047,11733,1077,4319,250000
"95",3090000,"RECOMMENDED",5e+06,371,"Main",1,909596,2214,186,632,1550912
"96",37400,"RECOMMENDED",5e+06,853,"Main",0,827239,3221,89,432,217000
"97",10500000,"NOT RECOMMENDED",3.5e+07,2486,"Main",17,3466458,6096,411,977,3678000
"98",52100000,"RECOMMENDED",2e+07,2179,"Main",-5,3743181,16782,565,4973,9224
"99",176000,"NOT RECOMMENDED",3e+07,59,"Main",0,3726728,6221,405,1074,1171891
"100",17200000,"NOT RECOMMENDED",9.5e+07,2875,"Main",0,23360,36,5,5,804300
"101",38500000,"NOT RECOMMENDED",4e+07,3062,"Main",0,2757667,3030,418,251,4521000
"102",13800000,"RECOMMENDED",6.5e+07,2894,"Sequel",0,5223362,18770,627,2796,8620000
"103",59700000,"NOT RECOMMENDED",2.2e+07,3260,"Main",2,943306,3006,325,1401,3185900
"104",20200,"NOT RECOMMENDED",6e+06,27,"Main",0,2426078,9230,184,373,33500
"105",44100000,"RECOMMENDED",1.3e+07,18,"Main",20,4176181,9463,310,885,269849
"106",89300000,"NOT RECOMMENDED",4.8e+07,21,"Sequel",6,1544390,2975,136,380,216000
"107",84500000,"NOT RECOMMENDED",2e+07,3465,"Main",0,3429055,7682,675,727,727000
"108",1.91e+08,"NOT RECOMMENDED",1.25e+08,3845,"Main",0,7908038,27312,3439,8533,1260000
"109",2.6e+07,"NOT RECOMMENDED",8e+06,2809,"Main",0,6132551,14539,653,846,11783000
"110",2590000,"RECOMMENDED",9500000,1586,"Main",3,134353,280,43,308,452367
"111",2.03e+08,"RECOMMENDED",2e+08,4324,"Sequel",6,386857,4996,233,864,4520000
"112",924000,"RECOMMENDED",2e+06,147,"Main",-3,6501107,14139,890,2928,1773247
"113",26800000,"RECOMMENDED",2.6e+07,8,"Main",3,5546710,15351,535,1271,48231
"114",50200000,"RECOMMENDED",5e+07,12,"Main",9,5165441,17476,871,3229,10364000
"115",50800000,"RECOMMENDED",6e+07,3464,"Main",5,2545852,3964,378,554,1280000
"116",4240,"NOT RECOMMENDED",7e+06,1281,"Main",0,330363,406,52,92,1085898
"117",10700000,"RECOMMENDED",12600000,809,"Main",-1,2897407,5953,153,569,2299105
"118",1.02e+08,"RECOMMENDED",5.5e+07,3236,"Main",0,7075635,15858,574,1966,1800000
"119",39300000,"NOT RECOMMENDED",9e+07,90,"Sequel",0,14453673,33092,1336,5005,1480000
"120",1.25e+08,"RECOMMENDED",1.2e+07,3173,"Main",7,32626778,370552,4752,38363,4240000
"121",2820000,"RECOMMENDED",13593662,432,"Main",0,10747,4,1,1,818000
"122",33600000,"NOT RECOMMENDED",2.5e+07,103,"Main",-2,4790221,4740,454,773,2740000
"123",45100000,"NOT RECOMMENDED",2.5e+07,702,"Main",6,523457,2187,149,565,184100
"124",2720000,"RECOMMENDED",2e+07,461,"Main",10,1303646,3306,211,564,759800
"125",2.55e+08,"RECOMMENDED",2.5e+08,3875,"Sequel",3,3554189,14152,262,1782,2613000
"126",2430000,"RECOMMENDED",1.6e+07,4,"Main",2,26528,58,1,8,25748
"127",54200000,"RECOMMENDED",2.2e+07,2023,"Main",11,24809,277,12,52,20700
"128",3.37e+08,"RECOMMENDED",1.25e+08,4151,"Sequel",2,3305417,14684,332,1176,31030000
"129",2820000,"NOT RECOMMENDED",1.2e+07,1393,"Main",0,309610,729,97,113,275873
"130",91100000,"RECOMMENDED",1.4e+07,747,"Main",9,3047849,11748,253,1237,2041898
"131",6110000,"RECOMMENDED",4.4e+07,78,"Main",0,6231191,13331,1265,3430,6619435
"132",47100000,"RECOMMENDED",5e+07,3003,"Main",2,1325872,4829,104,378,5563500
"133",18800000,"NOT RECOMMENDED",7e+07,2104,"Main",0,797229,1606,630,456,1174806
"134",2.58e+08,"RECOMMENDED",6e+07,3775,"Main",-2,439159,1847,105,289,4690000
"135",5980000,"NOT RECOMMENDED",1.4e+07,1841,"Main",2,381071,238,27,43,14586
"136",1.02e+08,"RECOMMENDED",3.4e+07,173,"Main",2,3156436,18124,213,2753,4734000
"137",7.8e+07,"NOT RECOMMENDED",7e+07,3083,"Main",0,10649,21,1,0,3849
"138",2.5e+07,"NOT RECOMMENDED",1.5e+07,2776,"Main",0,1935432,3089,155,567,148000
"139",64200000,"NOT RECOMMENDED",4.2e+07,3427,"Main",0,2269032,3046,546,554,1668302
"140",512000,"RECOMMENDED",1e+05,20,"Main",2,1223891,1309,148,239,226000
"141",83900000,"NOT RECOMMENDED",4e+07,3205,"Main",-1,8479994,35071,2233,3479,2731000
"142",71500000,"NOT RECOMMENDED",9e+06,2805,"Sequel",-3,1142295,3895,193,882,49424
"143",2750000,"NOT RECOMMENDED",6500000,685,"Main",0,4092871,8781,794,2046,420000
"144",1110000,"NOT RECOMMENDED",12250000,5,"Main",0,702,1,0,1,9842
"145",5000,"RECOMMENDED",11712311,2,"Main",0,253631,170,11,58,610207
"146",35900000,"RECOMMENDED",1.5e+07,15,"Main",8,3226251,18240,261,2104,8204
"147",4190000,"RECOMMENDED",22500000,320,"Main",7,3281842,4968,445,2099,1899400
"148",26500000,"NOT RECOMMENDED",1e+06,2602,"Sequel",-6,698,16,1,9,3086
"149",65200000,"NOT RECOMMENDED",2.4e+07,2225,"Sequel",0,2063089,5858,336,346,24388000
"150",2.3e+07,"NOT RECOMMENDED",1e+08,3455,"Main",0,14141585,36646,1459,6811,5987
"151",2.45e+08,"NOT RECOMMENDED",2.1e+08,4233,"Sequel",0,170909,791,362,230,2814900
"152",1820000,"NOT RECOMMENDED",2800000,449,"Main",0,473100,670,104,380,180100
"153",1.16e+08,"RECOMMENDED",6.5e+07,3131,"Main",0,6637551,19833,815,3403,269000
"154",3320000,"RECOMMENDED",6e+06,291,"Main",10,476747,2079,166,232,2536000
"155",30100000,"RECOMMENDED",1.5e+07,794,"Main",0,280566,477,56,82,585000
"156",13100000,"RECOMMENDED",3300000,42,"Main",2,7750223,17541,631,2760,858000
"157",280000,"RECOMMENDED",2487820,2,"Main",11,166612,571,36,70,854255
"158",37900000,"RECOMMENDED",1.5e+07,1061,"Main",0,5976092,9343,649,1333,781200
"159",3080000,"RECOMMENDED",3300000,4,"Main",7,697105,1023,39,429,1645806
"160",22500,"NOT RECOMMENDED",6e+07,2965,"Main",0,719976,1312,76,189,1810000
"161",3590000,"RECOMMENDED",6e+06,68,"Main",0,865690,1375,79,67,1818778
"162",2.34e+08,"RECOMMENDED",2e+08,3996,"Sequel",3,2285,9,0,1,10280000
"163",717000,"NOT RECOMMENDED",1.2e+07,2,"Main",0,550734,894,44,77,168700
"164",6.43e+08,"RECOMMENDED",1.5e+08,4274,"Sequel",1,9143740,34746,1074,5107,6180000
"165",4.58e+08,"RECOMMENDED",2.5e+08,4276,"Sequel",21,10366624,31552,989,3843,10070000
"166",3.5e+08,"RECOMMENDED",1.9e+08,4004,"Sequel",-17,59056,330,8,39,11890000
"167",3.45e+08,"RECOMMENDED",1.75e+08,3946,"Main",2,1438926,4632,262,496,232000
"168",3.25e+08,"RECOMMENDED",7.4e+07,4301,"Sequel",-2,1341909,1607,764,48,250000
"169",1.83e+08,"RECOMMENDED",2.9e+07,3473,"Sequel",1,9214467,39824,998,1987,7336000
"170",1.71e+08,"RECOMMENDED",1.5e+08,3956,"Sequel",3,8748596,20352,649,1842,6605000
"171",1.77e+08,"RECOMMENDED",1.35e+08,3708,"Main",-2,10341783,24413,1675,3426,5070000
"172",1.66e+08,"NOT RECOMMENDED",4e+07,3646,"Main",9,31859569,49900,13960,9119,946000
"173",1.62e+08,"NOT RECOMMENDED",7.4e+07,3641,"Sequel",0,5536822,29411,1840,1281,184000
"174",1.54e+08,"NOT RECOMMENDED",1.1e+08,3777,"Main",3,12632836,36508,2210,7559,9737600
"175",1.53e+08,"RECOMMENDED",1.5e+08,3702,"Sequel",-4,2732371,13030,497,1774,768700
"176",1.35e+08,"RECOMMENDED",2.8e+07,2757,"Main",5,848970,12607,237,1560,55618
"177",1.3e+08,"NOT RECOMMENDED",1.1e+08,3875,"Sequel",-6,2834800,5664,5746,66,4240000
"178",1.1e+08,"RECOMMENDED",6.5e+07,3711,"Main",0,6649290,20750,750,1666,265000
"179",1.05e+08,"RECOMMENDED",3.5e+07,3158,"Main",1,9511288,19903,2581,2955,2014000
"180",93200000,"RECOMMENDED",1.9e+08,3972,"Main",1,999867,4212,66,250,1198000
"181",90400000,"NOT RECOMMENDED",4e+07,3175,"Main",6,10078326,26565,1418,2395,2939000
"182",89400000,"RECOMMENDED",1.55e+08,3758,"Sequel",1,84870,265,13,63,3877901
"183",81300000,"RECOMMENDED",6.8e+07,3442,"Sequel",5,6711914,29903,984,1767,10988000
"184",7.1e+07,"NOT RECOMMENDED",3e+07,90,"Sequel",15,2389347,8809,935,892,1618000
"185",7.1e+07,"NOT RECOMMENDED",8.8e+07,3723,"Main",10,5340100,26134,2007,3717,2466000
"186",65900000,"NOT RECOMMENDED",14800000,3355,"Sequel",7,5128288,18475,858,1579,8392000
"187",64500000,"RECOMMENDED",2.3e+07,3003,"Main",-8,4826940,10521,478,755,2284000
"188",54900000,"NOT RECOMMENDED",3.1e+07,3411,"Sequel",13,2554327,10062,464,871,2347000
"189",52700000,"NOT RECOMMENDED",1.2e+08,3995,"Main",20,7560211,24168,3524,7139,881000
"190",47400000,"NOT RECOMMENDED",3.5e+07,3240,"Main",-5,3651828,13998,969,2205,1066
"191",47400000,"NOT RECOMMENDED",1.76e+08,3181,"Main",0,3920842,10535,565,1668,7460000
"192",42500000,"RECOMMENDED",2.5e+07,2991,"Main",11,11036701,50002,1005,3525,776000
"193",41900000,"RECOMMENDED",2e+07,2855,"Main",0,2947239,19201,625,1842,2113
"194",37400000,"RECOMMENDED",3.4e+07,3366,"Main",19,2393017,13291,369,584,324925
"195",36100000,"RECOMMENDED",5e+06,1648,"Main",11,2513544,6970,270,1105,1655987
"196",35400000,"NOT RECOMMENDED",4e+06,2602,"Main",16,5588384,15144,913,1499,4599000
"197",34500000,"NOT RECOMMENDED",3.5e+07,3003,"Main",2,6964819,26601,1111,1293,1630000
"198",3.4e+07,"RECOMMENDED",8500000,2575,"Main",2,12792898,56001,2083,4102,6714000
"199",33300000,"RECOMMENDED",1.1e+07,258,"Main",19,6495,82,3,7,675000
"200",32400000,"RECOMMENDED",3e+07,3108,"Main",6,1841293,5879,314,634,788000
"201",31400000,"RECOMMENDED",1.2e+07,3031,"Main",6,2854910,23254,459,1087,4184000
"202",25800000,"NOT RECOMMENDED",3300000,2666,"Main",7,4442147,10605,691,2739,2007000
"203",1.9e+07,"NOT RECOMMENDED",1e+07,2766,"Sequel",-38,11037833,36874,1885,4360,5699
"204",23500000,"NOT RECOMMENDED",1.8e+07,1603,"Main",25,638374,4018,130,269,1887
"205",22300000,"NOT RECOMMENDED",1.2e+07,2893,"Main",7,6646785,16041,955,2787,253499
"206",16100000,"NOT RECOMMENDED",3.5e+07,3261,"Main",10,13154873,46684,3565,8578,209000
"207",16800000,"RECOMMENDED",7e+05,2002,"Main",2,50444,238,3,28,986572
"208",12300000,"NOT RECOMMENDED",1.4e+07,2880,"Sequel",9,11496,194,9,31,1891977
"209",10900000,"NOT RECOMMENDED",2.8e+07,2778,"Main",21,2996539,1874,32,189,155000
"210",10600000,"NOT RECOMMENDED",4e+07,2816,"Main",3,3098749,4311,341,881,1520000
"211",7610000,"NOT RECOMMENDED",6e+07,2648,"Main",-2,3850758,13363,453,1276,3045000
"212",7100000,"NOT RECOMMENDED",7e+07,2567,"Main",4,2409338,6923,340,714,1334000
"213",6740000,"RECOMMENDED",8e+06,34,"Main",15,4032265,18398,302,1298,2208
"214",1710000,"NOT RECOMMENDED",8495000,420,"Main",-2,1364537,3824,689,772,3841
"215",131000,"NOT RECOMMENDED",4500000,79,"Main",10,5085068,14359,600,2468,3744000
"216",129000,"RECOMMENDED",4e+06,14,"Main",0,63724,115,28,14,129000
"217",106000,"NOT RECOMMENDED",1500000,22,"Main",14,44963,109,27,42,1188000
"218",1.69e+08,"RECOMMENDED",1.3e+08,3856,"Main",18,9597644,32558,2672,8359,3419521
"219",49500000,"RECOMMENDED",3e+07,2772,"Main",6,11476882,40496,1383,4435,3510693
"220",25400000,"RECOMMENDED",1.5e+07,1255,"Main",3,419470,2218,46,239,887031
"221",34600000,"RECOMMENDED",7.5e+07,3638,"Main",8,5216680,20010,500,2300,3793936
"222",2.01e+08,"RECOMMENDED",9.5e+07,3845,"Main",2,10164908,22726,4245,5262,4289304
"223",31600000,"RECOMMENDED",4.9e+07,3201,"Main",8,7384182,23597,786,3481,3159212
"224",444000,"RECOMMENDED",1900000,200,"Main",0,890619,6352,293,700,1507385
"225",26400000,"RECOMMENDED",5e+07,3171,"Main",3,5671767,10073,480,1712,5895582
"226",33100000,"RECOMMENDED",1e+07,1573,"Sequel",26,831044,2427,99,247,804666
"227",1210000,"NOT RECOMMENDED",5e+07,66,"Main",4,3701061,9325,641,1859,2123025
"228",2.1e+07,"NOT RECOMMENDED",3.7e+07,2815,"Main",13,7119456,18803,1128,2290,1544549
"229",10200000,"NOT RECOMMENDED",3.5e+07,2777,"Main",7,3450614,6823,325,409,4850539
"230",12300000,"NOT RECOMMENDED",3e+06,1694,"Main",10,66872,400,67,201,1687578
"231",22600000,"NOT RECOMMENDED",1e+05,2720,"Main",-5,659772,2841,431,606,249297
"232",75300000,"NOT RECOMMENDED",58800000,3555,"Main",11,2513544,6970,538,1105,24300
"233",8500000,"NOT RECOMMENDED",6e+06,291,"Main",0,280566,477,362,82,2536000
"234",9600000,"RECOMMENDED",3e+07,97,"Main",10,5085068,14359,649,2468,744600
"235",7800000,"RECOMMENDED",2400000,929,"Main",9,5165441,17476,553,3229,1463000
"236",63500000,"NOT RECOMMENDED",3.5e+07,3261,"Main",14,44963,109,56,42,209000
"237",63300000,"RECOMMENDED",3.5e+07,3261,"Main",-1,8479994,35071,369,3479,209000
"238",94400000,"NOT RECOMMENDED",6.6e+07,3115,"Sequel",10,1303646,3306,750,564,2594000
"239",76600000,"RECOMMENDED",3.7e+07,2815,"Main",0,1313548,8567,56,1285,1544549
"240",120700000,"NOT RECOMMENDED",1e+06,2602,"Sequel",5,1451649,7342,8,2305,3086
"241",230800000,"RECOMMENDED",1.25e+08,4151,"Main",-4,1034480,6490,235,374,31030000
"242",130800000,"RECOMMENDED",1.25e+08,3567,"Main",-6,2834800,5664,112,66,1810000
"243",63800000,"NOT RECOMMENDED",4.9e+07,3201,"Main",0,1391527,2479,413,182,3159212
"244",62600000,"NOT RECOMMENDED",3500000,2310,"Sequel",-1,1348142,4404,44,1033,1923800
"245",56300000,"NOT RECOMMENDED",3.5e+07,2777,"Main",0,3726728,6221,764,1074,4850539
"246",80400000,"NOT RECOMMENDED",12500000,2253,"Main",0,6637551,19833,569,3403,21697300
"247",41200000,"NOT RECOMMENDED",8500000,2766,"Main",9,5165441,17476,106,3229,3356830
"248",8600000,"NOT RECOMMENDED",5e+06,853,"Main",0,5976092,9343,913,1333,217000
"249",201700000,"RECOMMENDED",1.9e+08,4004,"Main",0,667852,469,13,44,11890000
"250",90400000,"NOT RECOMMENDED",2.4e+07,2225,"Main",0,797229,1606,307,456,24388000
"251",122900000,"NOT RECOMMENDED",1.32e+08,32,"Sequel",4,3701061,9325,105,1859,47200
"252",6900000,"NOT RECOMMENDED",4e+06,771,"Main",-2,1364537,3824,34,772,105000
"253",96100000,"RECOMMENDED",4e+07,3062,"Main",0,19032902,38810,3145,4392,4521000
"254",74200000,"NOT RECOMMENDED",6.5e+07,3131,"Main",8,1223790,2934,99,226,269000
"255",39300000,"NOT RECOMMENDED",2.5e+07,3019,"Main",14,2028767,3829,459,665,130000
"256",104700000,"RECOMMENDED",6e+07,3775,"Main",3,12632836,36508,1077,7559,4690000
"257",23900000,"NOT RECOMMENDED",7e+06,2544,"Sequel",2,1854103,2207,362,593,9536
"258",17600000,"RECOMMENDED",3.4e+07,173,"Main",2,6964819,26601,707,1293,4734000
"259",186200000,"RECOMMENDED",1.2e+07,2417,"Sequel",2,12792898,56001,1459,4102,2596340
"260",69300000,"NOT RECOMMENDED",7e+07,3083,"Main",2,1223891,1309,36,239,3849
"261",49400000,"NOT RECOMMENDED",3.5e+07,3158,"Main",0,3650720,6917,1418,1119,2014000
"262",93200000,"NOT RECOMMENDED",3.5e+07,3154,"Sequel",3,5671767,10073,675,1712,17064000
"263",37500000,"NOT RECOMMENDED",2.3e+07,3003,"Main",0,91137,112,66,1,2284000
"264",9600000,"RECOMMENDED",2.6e+07,8,"Main",2,3156436,18124,325,2753,48231
"265",154600000,"RECOMMENDED",3.5e+07,2777,"Main",7,32626778,370552,2233,38363,4850539
"266",80600000,"RECOMMENDED",4e+07,3646,"Main",1,9511288,19903,1,2955,946000
"267",57200000,"RECOMMENDED",2.8e+07,2872,"Main",19,2393017,13291,307,584,483000
"268",52300000,"RECOMMENDED",4e+06,14,"Main",9,31859569,49900,532,9119,129000
"269",69200000,"NOT RECOMMENDED",8e+06,2809,"Main",2,50444,238,1,28,11783000
"270",8.1e+07,"RECOMMENDED",6e+07,2965,"Main",0,6132551,14539,67,846,1810000
"271",132200000,"NOT RECOMMENDED",1.1e+08,3777,"Main",0,865690,1375,764,67,9737600
"272",34200000,"NOT RECOMMENDED",2e+07,2589,"Main",0,280566,477,19,82,2405992
"273",30700000,"NOT RECOMMENDED",1e+07,1573,"Sequel",-1,384448,1230,132,228,804666
"274",51100000,"NOT RECOMMENDED",3.7e+07,2815,"Main",3,3098749,4311,94,881,1544549
"275",3e+06,"RECOMMENDED",3e+07,59,"Main",29,4700023,14163,913,1293,1171891
"276",94100000,"RECOMMENDED",58800000,3555,"Main",5,1451649,7342,43,2305,24300
"277",13900000,"RECOMMENDED",1900000,200,"Main",-4,1034480,6490,369,374,1507385
"278",9.4e+07,"RECOMMENDED",6.8e+07,3313,"Main",-4,2732371,13030,211,1774,1888000
"279",3.2e+07,"NOT RECOMMENDED",1.2e+07,1393,"Main",-5,659772,2841,340,606,275873
"280",23300000,"NOT RECOMMENDED",1.6e+07,1825,"Main",1,1142964,2346,543,311,116800
"281",21500000,"NOT RECOMMENDED",1.8e+07,1603,"Main",0,3280543,4632,153,636,1887
"282",83200000,"RECOMMENDED",12500000,2253,"Main",0,7075635,15858,89,1966,21697300
"283",43500000,"NOT RECOMMENDED",3500000,2310,"Main",-4,1034480,6490,445,374,1923800
"284",82500000,"RECOMMENDED",5.5e+07,3236,"Main",0,7075635,15858,39,1966,1800000
